state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.06,1.0034935926418868e-08,1.0034935926418868e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.07,1.102172164530656e-08,1.102172164530656e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.08,1.185314400460155e-08,1.185314400460155e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.09,1.2560017010227107e-08,1.2560017010227107e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.1,1.316978678081379e-08,1.316978678081379e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.0,-3.1244054804458945e-21,3.1244054804458945e-21,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.01,2.2117670280207755e-09,2.2117670280207755e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.02,4.324755353389117e-09,4.324755353389117e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.03,6.261636855250289e-09,6.261636855250289e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.04,7.976550440230513e-09,7.976550440230513e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.05,9.45612301436528e-09,9.45612301436528e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.06,1.071240119083702e-08,1.071240119083702e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.07,1.1772692707729017e-08,1.1772692707729017e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.08,1.2670386040363756e-08,1.2670386040363756e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.09,1.34385944445183e-08,1.34385944445183e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.0,0.1,1.4106693089187988e-08,1.4106693089187988e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.0,-2.2265110979160937e-22,2.2265110979160937e-22,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.01,2.274837012566409e-09,2.274837012566409e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.02,4.44803401169469e-09,4.44803401169469e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.03,6.439469726273562e-09,6.439469726273562e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.04,8.201848895157127e-09,8.201848895157127e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.05,9.721670959299566e-09,9.721670959299566e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.06,1.1011752693320692e-08,1.1011752693320692e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.07,1.2100596005652025e-08,1.2100596005652025e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.08,1.302285169151495e-08,1.302285169151495e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.09,1.381276689234152e-08,1.381276689234152e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,2.5,0.1,1.4500648805833269e-08,1.4500648805833269e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.0,-1.0597447907902473e-20,1.0597447907902473e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.01,2.311897253390485e-09,2.311897253390485e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.02,4.520235601797203e-09,4.520235601797203e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.03,6.543183780982432e-09,6.543183780982432e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.04,8.332585590012928e-09,8.332585590012928e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.05,9.874886624886875e-09,9.874886624886875e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.06,1.1183396104356819e-08,1.1183396104356819e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.07,1.2287358755040781e-08,1.2287358755040781e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.08,1.3222199537658499e-08,1.3222199537658499e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.09,1.4022852438832633e-08,1.4022852438832633e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,3.0,0.1,1.4720181789241557e-08,1.4720181789241557e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.0,2.905332646243948e-22,2.905332646243948e-22,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.01,4.825534449577437e-21,4.825534449577437e-21,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.02,9.558845790447697e-21,9.558845790447697e-21,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.03,1.1045984841529823e-20,1.1045984841529823e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.04,1.3168934677992637e-20,1.3168934677992637e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.05,1.4178338747293475e-20,1.4178338747293475e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.06,1.4757348742919035e-20,1.4757348742919035e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.07,1.620768407426644e-20,1.620768407426644e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.08,1.5748612559623134e-20,1.5748612559623134e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.09,1.583558048600705e-20,1.583558048600705e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.0,0.1,1.647096244797188e-20,1.647096244797188e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.0,3.9298517908081056e-22,3.9298517908081056e-22,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.01,7.791865161170774e-13,7.791865161170774e-13,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.02,1.3202514998255643e-12,1.3202514998255643e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.03,1.6973593108010093e-12,1.6973593108010093e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.04,1.9616333979474397e-12,1.9616333979474397e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.05,2.1482728695509208e-12,2.1482728695509208e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.06,2.2814900968649033e-12,2.2814900968649033e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.07,2.3779279521740485e-12,2.3779279521740485e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.08,2.449020085081944e-12,2.449020085081944e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.09,2.502618553666859e-12,2.502618553666859e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,0.5,0.1,2.544114763777002e-12,2.544114763777002e-12,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.0,-6.928824620542023e-23,6.928824620542023e-23,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.01,1.5961783269935938e-09,1.5961783269935938e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.02,3.108213180550517e-09,3.108213180550517e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.03,4.483656141668815e-09,4.483656141668815e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.04,5.691159125817459e-09,5.691159125817459e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.05,6.7211631746394855e-09,6.7211631746394855e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.06,7.58154211151012e-09,7.58154211151012e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.07,8.291074637900375e-09,8.291074637900375e-09,True,
