state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
0,State_0_Empty,0.0,0.0,-0.0,2.7,0.05,9.63175190973042e-09,9.63175190973042e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.8,0.05,9.667868005547604e-09,9.667868005547604e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.9,0.05,9.700865130692254e-09,9.700865130692254e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.05,9.731153712653014e-09,9.731153712653014e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,-1.0,0.1,-5.248548127997847e-22,5.248548127997847e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.9,0.1,3.689642647991605e-22,3.689642647991605e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.8,0.1,5.462197436023635e-23,5.462197436023635e-23,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.7,0.1,-6.835663780106066e-22,6.835663780106066e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.6,0.1,1.2532691112712212e-22,1.2532691112712212e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.5,0.1,-5.725519272355925e-23,5.725519272355925e-23,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.4,0.1,-3.096040582850689e-22,3.096040582850689e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.3,0.1,2.785366123911254e-22,2.785366123911254e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.2,0.1,4.889092678833036e-22,4.889092678833036e-22,True,
0,State_0_Empty,0.0,0.0,-0.0,-0.1,0.1,2.468881613680749e-21,2.468881613680749e-21,True,
0,State_0_Empty,0.0,0.0,-0.0,0.0,0.1,8.940416084991785e-20,8.940416084991785e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,0.1,0.1,3.748144120193117e-18,3.748144120193117e-18,True,
0,State_0_Empty,0.0,0.0,-0.0,0.2,0.1,1.560532904906942e-16,1.560532904906942e-16,True,
0,State_0_Empty,0.0,0.0,-0.0,0.3,0.1,6.404006349250396e-15,6.404006349250396e-15,True,
0,State_0_Empty,0.0,0.0,-0.0,0.4,0.1,2.5684273349313737e-13,2.5684273349313737e-13,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.1,9.831021685168437e-12,9.831021685168437e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.6,0.1,3.09162516158768e-10,3.09162516158768e-10,True,
0,State_0_Empty,0.0,0.0,-0.0,0.7,0.1,3.1424956843598867e-09,3.1424956843598867e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,0.8,0.1,6.544100257897478e-09,6.544100257897478e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,0.9,0.1,8.456102030129866e-09,8.456102030129866e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.1,9.699683849700951e-09,9.699683849700951e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.1,0.1,1.0609546062450242e-08,1.0609546062450242e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.2,0.1,1.131528363968633e-08,1.131528363968633e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.3,0.1,1.1878529681666566e-08,1.1878529681666566e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.4,0.1,1.2333841439958106e-08,1.2333841439958106e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.1,1.2703982942242716e-08,1.2703982942242716e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.6,0.1,1.3006173132206988e-08,1.3006173132206988e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.7,0.1,1.3254330553222075e-08,1.3254330553222075e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.8,0.1,1.3459758634318763e-08,1.3459758634318763e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,1.9,0.1,1.3631464712926183e-08,1.3631464712926183e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.1,1.3776491513018289e-08,1.3776491513018289e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.1,0.1,1.3900282814451065e-08,1.3900282814451065e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.2,0.1,1.4007030390893837e-08,1.4007030390893837e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.3,0.1,1.4099968022941504e-08,1.4099968022941504e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.4,0.1,1.4181604396253268e-08,1.4181604396253268e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.1,1.4253900824285342e-08,1.4253900824285342e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.6,0.1,1.4318404342301063e-08,1.4318404342301063e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.7,0.1,1.4376346640709362e-08,1.4376346640709362e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.8,0.1,1.4428717561996878e-08,1.4428717561996878e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.9,0.1,1.4476319895667487e-08,1.4476319895667487e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.1,1.4519810476048131e-08,1.4519810476048131e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,-1.0,0.01,6.235962365419572e-22,6.235962365419572e-22,True,
